item_id,name,loc_key,mechanism,Base,slot_index_hex,slot_index_dec,Item Addr,status,notes
1,Accumulator (Queens),tenement:quest.rsc:0x2112,counted,140F9C380,,,140F9C404,counted-only,"shared cell as other Accumulator rows"
1,Accumulator (Salvage),salvage:resource.rsc:0x2E92,counted,140F9C380,,,140F9C404,counted-only,"shared cell; locations.csv flags this row ""wrong item, just a barrel"" - worth double-checking"
1,Accumulator (Prison),prison:quest.rsc:0x3282,counted,140F9C380,,,140F9C404,counted-only,"shared cell as other Accumulator rows"
1,Accumulator (London),uground:instance.rsc:0x3D32,counted,140F9C380,,,140F9C404,counted-only,"shared cell; locations.csv flags this row ""MARKED AS FILLER FOR SOME REASON???"""
23,Retractor (AsyFog),ah4fogom:quest.rsc:0x266A,counted,140F9C380,,,140F9C402,counted-only,"shared count cell (WORD @ this+0x82, read as 2 Bytes not 4) across all 5 Retractor locations"
23,Retractor (AsyExp),as2exper:quest.rsc:0x2AEA,counted,140F9C380,,,140F9C402,counted-only,"shared cell as other Retractor rows"
23,Retractor (AsyLav),ah3lavad:instance.rsc:0x5832,counted,140F9C380,,,140F9C402,counted-only,"shared cell as other Retractor rows"
23,Retractor (AsyCag),ah1cagew:quest.rsc:0x1B2A,counted,140F9C380,,,140F9C402,counted-only,"shared cell as other Retractor rows"
23,Retractor (AsyPla),ah2playr:quest.rsc:0x26FA,counted,140F9C380,,,140F9C402,counted-only,"shared cell as other Retractor rows"
,Poigne,t1tchgad:quest.rsc:0x3E0A,byte-flag,,,,140F9C1A4,existing-mechanism,"single byte flag via givegad, already implemented as POIGNE_RVA in client.py; not part of the GiveItem array"
,Light Soul,ah4fogom:quest.rsc:0x2742,unresolved,,,,,unresolved,"CONFIRMED not in the 30-slot GiveItem array (full sweep of all 30 slots done, no match) - must be tied to cadeaux_666/Fogometers reward logic (cadeaux_patch.py), not player inventory; needs its own separate investigation"
,Gad Power Upgrade (t1tchgad),t1tchgad:quest.rsc:0x3E52,byte-flag,,,,,existing-mechanism,"GAD_1..4_RVA byte flags in client.py, not the GiveItem array; which specific RVA maps to which temple not yet confirmed"
,Gad Power Upgrade (t2wlkgad),t2wlkgad:quest.rsc:0x3432,byte-flag,,,,,existing-mechanism,"GAD_1..4_RVA byte flags in client.py, not the GiveItem array; which specific RVA maps to which temple not yet confirmed"
,Gad Power Upgrade (t3swmgad),t3swmgad:quest.rsc:0x3A1A,byte-flag,,,,,existing-mechanism,"GAD_1..4_RVA byte flags in client.py, not the GiveItem array; which specific RVA maps to which temple not yet confirmed"
